			BibTeX Key	Laufnummer	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
1	0	0	5015	5015	Braun, Brigitte	Prävention sexualisierter Gewalt	BZgA Forum	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt	Haltung // attitude; Prävention // prevention; Sexualisierte Gewalt // sexual violence
0	0	0	4174	4174	Brumlik, Micha	Die Beschneidungsdebatte		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 6 Gewalt; 6.5 Negative Folgen; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Gewalt // violence; Theorie // theory; Vulnerabilität // vulnerability
0	0	0	4848	4848	Bundesvereinigung Evangelischer Tageseinrichtungen für Kinder e.V	Kindliche Sexualität		3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.1 Kinder; 5.3 Eltern und Familie; 7 Sexualität; 7.1 Sexuelle Erfahrungen	Eltern // parents; Familie // family; kindliche Sexualität // childhood sexuality; Kirche // church; Konzepte, Materialien // concepts
1	0	0	3632	3632	Çetin, Zülfukar	Zusammen- und Wechselwirkungen von Heteronormativität und (antimuslimischem) Rassismus		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.2 LGBAQ*; 1.4.3 Ethnizität; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.3 Diskriminierung	Heteronormativität // heteronormativity; Homonationalismus // homonationalism; Sexuelle Vielfalt // sexual diversity
0	0	0	3715	3715	Cierpka, Manfred	Psychosoziale Prävention		3 Thematischer Fokus; 3.2 Gewaltprävention	Prävention // prevention
0	0	0	3716	3716	Cierpka, Manfred	Zur Prävention von aggressivem Verhalten bei Kindern		3 Thematischer Fokus; 3.2 Gewaltprävention	Aggression // aggression; Kinder // children; Prävention // prevention
1	0	0	2537	2537	Conrad, Anne; Blume, Johanna E.; Moos, Jennifer J.	Frauen, Männer, Queer		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Geschichte // history; Geschlechterverhältnis // gender ratio; Geschlechtsidentität // gender Identity; Männlichkeit // masculinity; Queer Theorie // Queer Theory; Weiblichkeit // femininity
1	0	0	2317	2317	Crone, Gerburg; Liebhardt, Hubert	Institutioneller Schutz vor sexuellem Missbrauch		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch	Institutionelle Dynamiken // institutional dynamics; Institutioneller Missbrauch // institutional abuse; Kirche // church; Pädagogische Einrichtung // educational facilities; Sexueller Missbrauch // sexual abuse
0	0	0	3222	3222	Dabrock, Peter; Augstein, Renate; Helfferich, Cornelia; Schardien, Stefanie; Sielert, Uwe	Unverschämt - schön		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung; 9 Förderlinie; 9.1.8 PRÄVIK	Kirche // church; Religion // religion; Sexualethik // sexual ethics; Sexualität // sexuality
0	0	0	5040	5040	Dekker, Arne; Matthiesen, Silja	Sexuelle Schwierigkeiten in heterosexuellen studentischen Beziehungen	ZSE (Zeitschrift für Soziologie der Erziehung und Sozialisation)	3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 9 Förderlinie; 9.3.2 Junprof Hamburg	Forschungsergebnisse // research results; Quantitative Forschung // quantitative research; Sexualität // sexuality; Sexualverhalten // sexual behaviour; Studierende // students; Survey // survey
1	0	0	2600	2600	Domann, Sophie	Die Zeit des Ankommens in der Wohngruppe	Sozial Extra	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Kinder- und Jugendhilfe; 3 Thematischer Fokus; 3.2 Gewaltprävention; 9 Förderlinie; 9.1.3 Ich bin sicher!	Einzelinterviews // one-on-one interviews; Forschungsergebnisse // research results; Jugendliche // youth; Kinder // children; Qualitative Forschung // qualitative research; Stationäre Einrichtungen // residential care
0	0	0	2501	2501	Domann, Sophie	Gewalt in der Peer-Group in stationären Settings	Forum Erziehungshilfen	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Kinder- und Jugendhilfe; 3 Thematischer Fokus; 3.2 Gewaltprävention; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.3 Ich bin sicher!	Kinder- und Jugendhilfe // child welfare system; Peergewalt // peer violence; Stationäre Einrichtungen // residential care
0	0	0	2498	2498	Domann, Sophie; Eßer, Florian; Rusack, Tanja; Klepp, Nele; Löwe, Carolin	Jugendliche in der Heimerziehung zwischen Verboten, informellen Regeln und Klatsch	Neue Praxis	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Kinder- und Jugendhilfe; 5 Adressat*innen; 5.2 Jugendliche; 9 Förderlinie; 9.1.3 Ich bin sicher!	Jugendliche // youth; Körper // body; Nähe-Distanz-Regulation // boundary management; Pädagogische Beziehung // pedagogical relationship; Stationäre Einrichtungen // residential care
1	0	0	2601	2601	Domann, Sophie; Rusack, Tanja	Schutzkonzepte in der Kinder und Jugendhilfe	Kinder- und Jugendschutz in Wissenschaft und Praxis (KJug)	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Kinder- und Jugendhilfe; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 5 Adressat*innen; 5.2 Jugendliche; 9 Förderlinie; 9.1.3 Ich bin sicher!	Forschungsergebnisse // research results; Gruppendiskussionen // group discussions; Kinder- und Jugendhilfe // child welfare system; Qualitative Forschung // qualitative research; Schutzkonzept // protection concept; Sexualisierte Gewalt // sexual violence; Stationäre Einrichtungen // residential care
1	0	0	4447	4447	Eberhardt, Bernd; Naasner, Annegret; Nitsch, Matthias	Bundesweite Fortbildungsoffensive von 2010 bis 2014 zur Implementierung präventiver Kinderschutzkonzepte		3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch	Evaluation // evaluation; Pädagogische Fachkräfte // pedagogial staff; Prävention // prevention; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse
0	0	0	4432	4432	Ecarius, Jutta	Vulnerabilitätserfahrungen		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.3 Kinderschutz	Geschichte // history; Geschlecht // gender; Vulnerabilität // vulnerability
0	0	0	3713	3713	Egle, Ulrich Tiber; Joraschky, Peter; Lampe, Astrid; Seiffge-Krenke, Inge; Cierpka, Manfred	Sexueller Missbrauch, Misshandlung, Vernachlässigung		3 Thematischer Fokus; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.5 Negative Folgen	Langzeitfolgen // long-term effect; Psychotherapie // psychotherapy; Sexueller Missbrauch // sexual abuse; Trauma // trauma
0	0	0	3714	3714	Fegert, Jörg M.	Präventive Maßnahmen in Institutionen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 6 Gewalt; 6.1 Sexueller Missbrauch	Pädagogische Einrichtung // educational facilities; Prävention // prevention; Sexueller Missbrauch // sexual abuse
1	0	0	289	289	Fegert, Jörg M.; Hoffmann, Ulrike; König, Elisa; Niehues, Johanna; Liebhardt, Hubert	Sexueller Missbrauch von Kindern und Jugendlichen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.12 Safer Places	Evaluation // evaluation; Gefahrendiskurs // danger narrative; Handbuch // handbook; Handlungsempfehlungen // guidelines; interkulturell // intercultural; Intervention // intervention; Kinderschutz // child protection; Kindeswohl // child welfare; Konzepte, Materialien // concepts; Medien // media; Menschen mit Behinderungen // people with disabilities; Prävention // prevention; Recht // law; Schutzfaktoren // protection factor; Sexueller Missbrauch // sexual abuse; Täter*in // offender
0	0	0	2655	2655	Fegert, Jörg M.; Wolff, Mechthild	Kompendium "Sexueller Missbrauch in Institutionen"		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.12 Safer Places	Handbuch // handbook; Handlungsempfehlungen // guidelines; Jugendliche // youth; Kinder- und Jugendhilfe // child welfare system; Kinderschutz // child protection; Pädagogische Fachkräfte // pedagogial staff; Prävention // prevention; Sexueller Missbrauch // sexual abuse
0	0	0	3210	3210	Felix, Marcus	Wer hat Angst vorm Regenbogen?		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.3 Diskriminierung	Diversität // diversity; Geschlechtsidentität // gender Identity; Lehrer*innen // Teachers; Schule // school; Sexuelle Bildung // sexuality education; Sexuelle Vielfalt // sexual diversity
1	0	0	2693	2693	Fischer, Claudia	Draußen vor der Tür		1 Soziale Rahmung; 1.3 Medien und Technologie; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch	Medien // media; Pädagogische Einrichtung // educational facilities; Sexualisierte Gewalt // sexual violence
0	0	0	5020	5020	Franz, Philip; Böhm, Maika; Dekker, Arne; Matthiesen, Silja	Zwischen sexueller Selbstermächtigung und sexueller Sorge		1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 9 Förderlinie; 9.3.2 Junprof Hamburg	Pornografie // pornography; Studierende // students
0	0	0	601	601	Geiss, Michael; Magyar-Haas, Veronika	Zum Schweigen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz	Kommunikation // communication; Macht // power; Pädagogik // pedagogy
0	0	0	4211	4211	Glammeier, Sandra	(De)Thematisierung von Geschlecht im wissenschaftlichen Diskurs zu sexueller Gewalt gegen Kinder und Jugendliche		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule	Diskurs // discourse; Geschlecht // gender; Jugendliche // youth; Kinder // children; Sexualisierte Gewalt // sexual violence
1	0	0	1996	1996	Glammeier, Sandra	Pädagogische Herausforderungen angesichts sexueller Gewalt	Die berufsbildende Schule	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule	Lehrer*innen // Teachers; Schule // school; Schüler*innen // pupils; Schutzkonzept // protection concept; Sexualisierte Gewalt // sexual violence; Sexuelle Belästigung // sexual harassment; Weiterbildung // further education
1	0	0	3961	3961	Görgen, Arno; Griemmert, Maria; Kessler, Sebastian	Sexueller Missbrauch und Kinderschutz		3 Thematischer Fokus; 3.3 Kinderschutz; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.7 Kindeswohl als kollektives Orientierungsmuster?	Kinderschutz // child protection; Sexueller Missbrauch // sexual abuse
1	0	0	3644	3644	Groen, Maike; Schröder, Arne	Jugendkultur im Binärsystem?		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche	Geschlecht // gender; Heteronormativität // heteronormativity; Sexuelle Vielfalt // sexual diversity
0	0	0	2848	2848	Hark, Sabine; Villa, Paula-Irene	Anti-Genderismus		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.3 Diskriminierung	Geschlecht // gender; Intersektionalität // intersectionality
1	0	0	2965	2965	Hark, Sabine; Villa, Paula-Irene	Eine Frage an und für unsere Zeit		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Gender Studies // Gender Studies; Geschlecht // gender
0	0	0	5044	5044	Hartwig, Luise	Mädchen-Sein und Sexualpädagogik in der stationären Erziehungshilfe	Forum Erziehungshilfen	1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Kinder- und Jugendhilfe; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Kinder- und Jugendhilfe // child welfare system; Mädchen // girls; Sexualpädagogik // sex education; Stationäre Einrichtungen // residential care
1	0	0	1359	1359	Henningsen, Anja	Sexualpädagogik als Profession	Sozialmagazin	3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 9 Förderlinie; 9.3.4 Junprof Kiel	Pädagogische Fachkräfte // pedagogial staff; Professionalität // professionality; Sexualpädagogik // sex education
1	0	0	2607	2607	Henningsen, Anja; Mantey, Dominik	Sexualpädagogik verletzt Grenzen? Sexualpädagogik wahrt Grenzen!	Forum Erziehungshilfen	3 Thematischer Fokus; 3.1 Sexualpädagogik; 9 Förderlinie; 9.3.4 Junprof Kiel	Grenzen // boundaries; Pädagogische Fachkräfte // pedagogial staff; Professionalität // professionality; Sexualpädagogik // sex education
1	0	0	4206	4206	Herrmann, Steffen K.	Politischer Antagonismus und sprachliche Gewalt		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.3 Diskriminierung	Diskriminierung // discrimination; Geschlecht // gender
1	0	0	5014	5014	Heßling, Angelika; Bode, Heidrun	Erfahrungen sexualisierter Gewalt	BZgA Forum	3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Übergriff, Peergewalt; 7 Sexualität; 7.1 Sexuelle Erfahrungen	Betroffene sexualisierter Gewalt // sexual assault survivors; Forschungsergebnisse // research results; Jugendliche // youth; Jugendsexualität // youth sexuality; Quantitative Forschung // quantitative research; Sexualisierte Gewalt // sexual violence; Survey // survey
1	0	0	4449	4449	Heynen, Susanne	Sexuelle Gewalt in Institutionen		1 Soziale Rahmung; 1.2 Policies; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch	Handlungsempfehlungen // guidelines; Jugendamt // child welfare services; Kinder- und Jugendhilfe // child welfare system; Sexualisierte Gewalt // sexual violence
0	0	0	2665	2665	Hochschule Merseburg	Forschungsbericht 2015		8 Forschung; 9 Förderlinie; 9.3.1 Forschungsprof Merseburg	Forschungsstand // state of research; Kinder- und Jugendhilfe // child welfare system; Sexuelle Bildung // sexuality education; Trauma // trauma
0	0	0	3542	3542	Hoffmann, Markus	Schulische Sexualerziehung		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Kommunikation // communication; Lehrer*innen // Teachers; Schule // school; Sexualerziehung // sex ed; Sexualität // sexuality; Sexualkultur // sexuality culture
1	0	0	4450	4450	Hoffmann, Ulrike	Sexueller Missbrauch in Institutionen		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch	Diskursanalyse // discourse analysis; Forschungsergebnisse // research results; Pädagogische Einrichtung // educational facilities; Qualitative Analyse // qualitative analysis; Sexueller Missbrauch // sexual abuse
0	0	1	3320	3320	Huch, Sarah; Lücke, Martin	Sexuelle Vielfalt im Handlungsfeld Schule		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Diversität // diversity; Konzepte, Materialien // concepts; Schule // school
1	0	0	4207	4207	Kämpf, Katrin M.	Eine >Büchse der Pandora<?		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Geschlecht // gender; Pädosexualität // pedosexuality
1	0	0	3645	3645	Kempe-Schälicke, Conny Hendrik	Erste-Hilfe-Maßnahmen am Unfallort Schule		1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.3 Diskriminierung	Schule // school; Sexuelle Vielfalt // sexual diversity
0	0	0	2511	2511	Kessl, Fabian; Koch, Nicole; Wittfeld, Meike	Familien als risikohafte Konstellationen		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Kinder- und Jugendhilfe; 3 Thematischer Fokus; 3.2 Gewaltprävention; 5 Adressat*innen; 5.3 Eltern und Familie; 9 Förderlinie; 9.1.5 IRiK	Familie // family; Risikofaktoren // risk factors
0	0	0	4654	4654	Kettritz, Thorsten	Positionspapier zur Entwicklung von Standards für die Arbeit mit Kindern, Jugendlichen und jungen Erwachsenen mit sexualisiert grenzverletzendem Verhalten	Kindesmisshandlung und -vernachlässigung	3 Thematischer Fokus; 3.4 Intervention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.2 Übergriff, Peergewalt	Handlungsempfehlungen // guidelines; jugendliche Täter*innen // youth offenders; Sexualisierte Gewalt // sexual violence
1	0	0	2694	2694	Kindler, Heinz; Fegert, Jörg M.	Missbrauch in Institutionen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.6 Kultur des Hinhörens	Forschungsstand // state of research; Pädagogische Einrichtung // educational facilities; Sexualisierte Gewalt // sexual violence
1	0	0	3631	3631	Klapeer, Christine M.	Vielfalt ist nicht genug!		1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Heteronormativität // heteronormativity; Sexuelle Vielfalt // sexual diversity
1	0	0	3640	3640	Kleiner, Bettina	Que(e)r durch den Schulalltag?		1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 6 Gewalt; 6.3 Diskriminierung	Jugendliche // youth; Sexuelle Vielfalt // sexual diversity
1	0	0	3650	3650	Klenk, Florian Cristobal	Que(e)r durch die Fachkulturen		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Sexuelle Vielfalt // sexual diversity
0	0	0	3953	3953	Koch, Claus	Bindung und Anderssein		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz	Bedarfe // needs; Kinder // children; Vulnerabilität // vulnerability
0	0	0	4177	4177	König, Julia	Szenen sexueller Verletzlichkeit als intergenerationelles  Problem		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch	Macht // power; Sexualisierte Gewalt // sexual violence; Vulnerabilität // vulnerability
1	0	0	3643	3643	Körner, Constanze	Regenbogenfamilien		1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 5 Adressat*innen; 5.3 Eltern und Familie	Familie // family; Sexuelle Vielfalt // sexual diversity
0	0	0	4012	4012	Krämer, Judith	Lernen über Geschlecht		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Feminismus // feminism; Gender Studies // Gender Studies; Geschlecht // gender; Intersektionalität // intersectionality; Sexuelle Vielfalt // sexual diversity
1	0	1	2820	2820	Krell, Claudia	Forschungsprojekt "Coming-out - und dann...?!"	BZgA Forum	1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 8 Forschung	Coming out // coming out; Forschungsergebnisse // research results; Quantitative Forschung // quantitative research; Survey // survey
