;;;Autor, Herausgeber oder Institution;Zeitschrift/Zeitung;Laufnummer;BibTeX Key;Schlagwörter;Kategorien;Titel
FALSCH;FALSCH;FALSCH;Apin, Nina;;21;Apin.2020;"Jugendliche // youth; Kinder // children; Prävention // prevention; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz; 6 Gewalt; 6.1 Sexueller Missbrauch";Der ganz normale Missbrauch
FALSCH;FALSCH;FALSCH;Arndt, Susan;;22;Arndt.2020;"Selbstbestimmung // agency; Sexualethik // sexual ethics; Sexualisierte Gewalt // sexual violence; Sexuelle Belästigung // sexual harassment; Sexueller Übergriff // sexual assault";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.3 Diskriminierung; 8 Forschung";Sexismus
FALSCH;FALSCH;FALSCH;"Arzt, Silvia; Brunnauer, Cornelia; Schartner, Bianca";;23;Arzt.2018;"Sexualisierte Gewalt // sexual violence; Sexualpädagogik // sex education";"3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention";Sexualität, Macht und Gewalt
FALSCH;FALSCH;FALSCH;Augustin, Jenny;;24;Augustin.2020;"Aufarbeitung // rehabilitation; Bedarfe // needs; Gewalt // violence; Grenzen // boundaries; Trauma // trauma";"1 Soziale Rahmung; 1.1 Diskurse";Gewalt erzählen
FALSCH;FALSCH;FALSCH;Baab, Annabell;Sozial Extra (Sozial Extra);25;Baab.2018;"Berufsschule // professional school; Menschen mit Behinderungen // people with disabilities; Selbstbestimmung // agency; Sexualität // sexuality";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.5 Behinderungen; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung";Sexuelle Selbstbestimmung in der Behindertenhilfe
FALSCH;FALSCH;FALSCH;"Baader, Meike Sophia; Jansen, Christian; König, Julia; Sager, Christin";;26;Baader.2017b;"68er // 1960s; Geschichte // history; kindliche Sexualität // childhood sexuality; Pädosexualität // pedosexuality";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.1 Sexueller Missbrauch";Tabubruch und Entgrenzung
FALSCH;FALSCH;FALSCH;"Baader, Meike Sophia; Sager, Christin";;27;Baader.2021;"Macht // power; Pädagogik // pedagogy; Pädagogische Beziehung // pedagogical relationship; Professionalität // professionality; Sexuelle Belästigung // sexual harassment; Sexueller Missbrauch // sexual abuse";"1 Soziale Rahmung; 1.1 Diskurse; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.3 Diskriminierung; 6.4 Disclosure, Aufarbeitung; 6.5 Negative Folgen; 8 Forschung";Pädagogische Professionalität und Reflexivität im Umgang mit Gewalt und sexualisierter Gewalt in Macht-, Geschlechter- und Sorgeverhältnissen
FALSCH;FALSCH;FALSCH;"Baader, Meike Sophia; Scheiwe, Kirsten";Sozial Extra (Sozial Extra);28;Baader.2019;"68er // 1960s; Geschichte // history; Pädagogik // pedagogy; Pädagogische Beziehung // pedagogical relationship; Pädagogische Einrichtung // educational facilities; Schule // school; Schüler*innen // pupils";"1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.1 Kita; 2.2.2 Grundschule; 2.2.3 Weiterführende Schule";Erziehung und Schule nach 68
FALSCH;FALSCH;FALSCH;Baer, Steffen;TUP - Theorie und Praxis der Sozialen Arbeit;29;Baer.2020;"Bisexualität // bisexuality; Coming out // coming out; Diskriminierung // discrimination; Queer Theorie // Queer Theory; Selbstbestimmung // agency; Sexualität // sexuality; Sexualkultur // sexuality culture";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.2 LGBAQ*";"""Und dann war ich geoutet!"""
FALSCH;FALSCH;FALSCH;"Bager, Katharina; Bauer, Michaela; Krößmann, Ina; Offen, Susanne";;30;Bager.2018;"Geschlecht // gender; Konzepte, Materialien // concepts; Selbstbestimmung // agency; Sexuelle Vielfalt // sexual diversity";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte";Sexualitäten, Geschlechter und Identitäten
FALSCH;FALSCH;FALSCH;"Bahne, Thomas; Link, Pierre-Carl";;31;Bahne.2021;"Betroffene sexualisierter Gewalt // sexual assault survivors; Bewältigung // coping; Forschungsstand // state of research; Sexualisierte Gewalt // sexual violence; Vulnerabilität // vulnerability";"5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.1 Sexueller Missbrauch";Vulnerabilität des Humanen
FALSCH;FALSCH;WAHR;Bange, Dirk;DJI Impulse;32;Bange.2017;"Diskurs // discourse; Kommunikation // communication; Sexualisierte Gewalt // sexual violence";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention";Sprechen und forschen über das Unsagbare
FALSCH;FALSCH;FALSCH;Bange, Dirk;Neue Praxis;33;Bange.2018;"Aufarbeitung // rehabilitation; Forschungspraxis // research practice; Forschungsstand // state of research; Kinder- und Jugendhilfe // child welfare system; Sexualisierte Gewalt // sexual violence";"3 Thematischer Fokus; 3.3 Kinderschutz; 8 Forschung";Haben sich die Eingriffsschwellen beim Kinderschutz verändert? Eine Analyse der Kinder- und Jugendhilfestatistik und einschlägiger Untersuchungen
FALSCH;FALSCH;FALSCH;Bange, Dirk;Kindesmisshandlung und -vernachlässigung;34;Bange.2018b;"Kindertagesstätte // day-care centre; Schutzkonzept // protection concept";"2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.2 Gewaltprävention";Kinderschutzkonzepte und Kitas
FALSCH;FALSCH;FALSCH;Bange, Dirk;Kindesmisshandlung und -vernachlässigung;35;Bange.2019;"Frauen // women; Gender Studies // Gender Studies; Geschlecht // gender; Geschlechterverhältnis // gender ratio; Mädchen // girls; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch";Sexualisierte Gewalt an Mädchen und Jungen – Frauen als Täterinnen
FALSCH;FALSCH;FALSCH;Bänziger, Peter-Paul;;36;Banziger.2015;"Diskurs // discourse; Geschichte // history; Sexualität // sexuality; Sexualverhalten // sexual behaviour";"1 Soziale Rahmung; 1.1 Diskurse; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung";Sexuelle Revolution?
FALSCH;FALSCH;FALSCH;"Barker, Meg-John; Scheele, Julia; Theodor, Jen";;37;Barker.2018;"Konzepte, Materialien // concepts; Queer Theorie // Queer Theory; Sexuelle Vielfalt // sexual diversity";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.5 Praxismaterialien";Queer
FALSCH;FALSCH;FALSCH;"Bauer, Gero; Ammicht Quinn, Regina; Hotz-Davies, Ingrid";;38;Bauer.2018;"Gender Studies // Gender Studies; Geschlecht // gender; Kirche // church; Queer Theorie // Queer Theory; Religion // religion";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen";Die Naturalisierung des Geschlechts
FALSCH;FALSCH;FALSCH;Bawidamann, Anja;Kindesmisshandlung und -vernachlässigung;39;Bawidamann.2019;"Digitale Medien // digital media; Medien // media; Pädagogik // pedagogy; Prävention // prevention; Professionalität // professionality; Sexueller Missbrauch // sexual abuse; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch";Präventive Medienpädagogik oder medienpädagogische Prävention von sexuellem Missbrauch?
FALSCH;FALSCH;FALSCH;Becker, Sophinette;Kinder- und Jugendlichen-Psychotherapie (KJP);40;Becker.2018;"Diskurs // discourse; Geschlecht // gender; Psychologie // psychology; Sexuelle Orientierung // sexual orientation";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.2 Andere Fachkräfte";Geschlecht und sexuelle Orientierung in Auflösung – was bleibt?
FALSCH;FALSCH;FALSCH;"Becker-Hebly, Inga; Briken, Peer; Schulte-Markwort, Michael; Nieder, Timo O.";Psychotherapie, Psychosomatik, medizinische Psychologie;41;BeckerHebly.2020;"Diskriminierung // discrimination; Forschungsergebnisse // research results; Forschungsethik // research ethics; Forschungsmethoden // research methods; Forschungspraxis // research practice; Jugendamt // child welfare services; Jugendliche // youth; Queer Theorie // Queer Theory; Trans* // trans*";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 8 Forschung";Transgender im Jugendalter: Forschungsstand und zukünftiger Forschungsbedarf
FALSCH;FALSCH;FALSCH;Behruzi, Katrin;;42;Behruzi.2018;"Disclosure // disclosure; Forschungsergebnisse // research results; Kinder // children; Psychologie // psychology; Sexueller Missbrauch // sexual abuse";"4 Fachkräfte; 4.2 Andere Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.4 Disclosure, Aufarbeitung";Taterleben und Mitteilungsprozesse bei sexuellem Missbrauch von Kindern und Jugendlichen
FALSCH;FALSCH;FALSCH;Beier, Klaus M.;;43;Beier.2018;"jugendliche Täter*innen // youth offenders; Pädosexualität // pedosexuality; Psychotherapie // psychotherapy; Sexueller Missbrauch // sexual abuse";"3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch";Pädophilie, Hebephilie und sexueller Kindesmissbrauch
FALSCH;FALSCH;FALSCH;Beierling, Birgit;UJ (unsere jugend);44;Beierling.2021;"Berufsschule // professional school; Kinder- und Jugendhilfe // child welfare system; Kinderschutz // child protection; Recht // law; Schule // school";"1 Soziale Rahmung; 1.2 Leitlinien; 3 Thematischer Fokus; 3.3 Kinderschutz; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche";Der Referentenentwurf zum Kinder- und Jugendstärkungsgesetz und die rechtskreisübergreifende Kooperation am Übergang Schule – Beruf. Eine verbesserte Rolle der Jugendsozialarbeit?
FALSCH;FALSCH;FALSCH;"Bell, Patricia; Karle, Elke";;45;Bell.2016;"Einzelinterviews // one-on-one interviews; Feminismus // feminism; Forschungsergebnisse // research results; Frauen // women; Gewalt gegen Frauen // violence against women; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch";Sexualisierte Gewalt gegen Kinder und Partnergewalt
FALSCH;FALSCH;FALSCH;"Bertels, Gesa; Quente, Michaela; Kreyerhoff, Astrid-Maria; Wazlawik, Martin";Soziale Passagen;46;Bertels.2019;"Betroffene sexualisierter Gewalt // sexual assault survivors; Fachberatungsstelle // specialist counselling; Sexualisierte Gewalt // sexual violence; Sexuelle Belästigung // sexual harassment; Sexueller Übergriff // sexual assault; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 6 Gewalt; 6.1 Sexueller Missbrauch; 8 Forschung; 9 Förderlinie; 9.2.2 BerGe";Beratung zu sexualisierter Gewalt und die Geschlechterperspektive
FALSCH;FALSCH;FALSCH;"Bertsch, Bianca; Seckinger, Mike";UJ (unsere jugend);47;Bertsch.2016;"Kinder // children; Kinderschutz // child protection; Kindeswohl // child welfare; Kooperation // cooperation; Pädagogik // pedagogy; Pädagogische Fachkräfte // pedagogial staff";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz; 5 Adressat*innen; 5.1 Kinder; 8 Forschung";Kooperation im Sinne des Kinderschutzes. Ausgewählte Ergebnisse der Evaluation des BKiSchG
FALSCH;FALSCH;FALSCH;"Bienstein, Pia; Urbann, Katharina; Verlinden, Karla";;48;Bienstein.2019;"Kinder // children; Kinderschutz // child protection; Kindeswohl // child welfare; Prävention // prevention; Sexualisierte Gewalt // sexual violence; Sexuelle Belästigung // sexual harassment; Sexueller Missbrauch // sexual abuse; Sexueller Übergriff // sexual assault";"1 Soziale Rahmung; 1.2 Leitlinien; 1.4 Identitäten; 1.4.5 Behinderungen; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.1 Sexueller Missbrauch";Prävention sexuellen Missbrauchs an Kindern und Jugendlichen mit Behinderung
FALSCH;FALSCH;FALSCH;"Bienstein, Pia; Verlinden, Karla";;49;Bienstein.2018b;"Menschen mit Behinderungen // people with disabilities; Prävention // prevention; Sexueller Missbrauch // sexual abuse";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.5 Behinderungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.14 SeMB";Prävention von sexuellem Missbrauch an Menschen mit geistiger Behinderung
FALSCH;FALSCH;FALSCH;Biesel, Kay;Sozial Extra;50;Biesel.2015;"Kinderschutz // child protection; Kooperation // cooperation; Prävention // prevention; Sexueller Missbrauch // sexual abuse";"1 Soziale Rahmung; 1.2 Leitlinien; 3 Thematischer Fokus; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte";Zusammenarbeit im Kinderschutz
FALSCH;FALSCH;FALSCH;"Biesel, Kay; Meysen, Thomas; Schrapper, Christian";Neue Praxis;51;Biesel.2020;"Kinder // children; Kinderschutz // child protection; Praxis // practice; Professionalität // professionality; Professionsethik // professional ethics; Risikofaktoren // risk factors; Schutzfaktoren // protection factor";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte";Über den Umgang mit Fehlern im Kinderschutz
FALSCH;FALSCH;FALSCH;"Biesel, Kay; Urban-Stahl, Ulrike";;52;Biesel.2018;"Haltung // attitude; Handbuch // handbook; Jugendliche // youth; Kinder // children; Kinderschutz // child protection; Prävention // prevention; Soziale Arbeit // Social Work";"3 Thematischer Fokus; 3.3 Kinderschutz";Lehrbuch Kinderschutz
FALSCH;FALSCH;FALSCH;"Bilgi, Oktay; Frühauf, Marie; Schulze, Kathrin";;53;Bilgi.2017;Gesellschaft // society;"1 Soziale Rahmung; 1.1 Diskurse";Widersprüche gesellschaftlicher Integration
FALSCH;FALSCH;FALSCH;"Bilstein, Johannes; Ecarius, Jutta; Ricken, Norbert; Stenger, Ursula";;54;Bilstein.2016;"Gewalt // violence; Pädagogik // pedagogy; Pädagogische Einrichtung // educational facilities";"1 Soziale Rahmung; 1.1 Diskurse";Bildung und Gewalt
FALSCH;FALSCH;FALSCH;Bindel-Kögel, Gabriele;UJ (unsere jugend);55;BindelKogel.2018;"Kinder // children; Kinderschutz // child protection; Professionalität // professionality; Professionsethik // professional ethics; Recht // law; Schutzfaktoren // protection factor; Sexuelle Belästigung // sexual harassment; Sexueller Missbrauch // sexual abuse; Sexueller Übergriff // sexual assault; Vulnerabilität // vulnerability";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 8 Forschung";Verfahrensbeistandschaft in Fällen der Kindeswohlgefährdung nach § 1666 BGB. Ergebnisse einer Rechtstatsachenstudie
FALSCH;FALSCH;FALSCH;"Bittner, Martin; Wittfeld, Meike";Die berufsbildende Schule;56;Bittner.2015;"Berufsschule // professional school; Gewalt // violence; Jugendliche // youth; Lehrer*innen // Teachers; Pädagogische Beziehung // pedagogical relationship; Pädagogische Einrichtung // educational facilities; Schüler*innen // pupils; Sexueller Missbrauch // sexual abuse";"2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.5 IRiK";Transferüberlegung
FALSCH;FALSCH;FALSCH;"Blank, Beate; Gögercin, Süleyman; Sauer, Karin Elinor; Schramkowski, Barbara";;57;Blank.2018;"Diversität // diversity; Haltung // attitude; Handbuch // handbook; Konzepte, Materialien // concepts; Pädagogik // pedagogy; Rassismus // racism; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.3 Ethnizität; 1.4.4 Religion; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche; 5.3 Eltern und Familie";Soziale Arbeit in der Migrationsgesellschaft
FALSCH;FALSCH;FALSCH;"Blättner, Beate; Hahn, Daphne; Brzank, Petra";;58;Blattner.2019;"Gewalt // violence; Handbuch // handbook; Handlungsempfehlungen // guidelines; Konzepte, Materialien // concepts; Praxis // practice";"1 Soziale Rahmung; 1.2 Leitlinien; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 6.5 Negative Folgen";Praxishandbuch Interpersonelle Gewalt und Public Health
